@relation 'raw_new-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-7,9-18,20-21,23-36,38-39,41-43,45-73,75-76,78-80-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R1'

@attribute MET numeric
@attribute INSUL numeric
@attribute TAAV numeric
@attribute VELAV numeric
@attribute RH numeric
@attribute dayav_ta numeric
@attribute dayav_rh numeric

@data
1,0.7842,27,?,64,27.555556,81.55
1,0.7842,27,?,64,27.555556,81.55
1,0.682944,27,?,64,27.555556,81.55
1,0.7842,27,?,64,27.555556,81.55
1,0.7842,27,?,64,27.555556,81.55
1,0.682944,27,?,64,27.555556,81.55
1,0.682944,27,?,64,27.555556,81.55
1,0.682944,27,?,64,27.555556,81.55
1,0.682944,27,?,64,27.555556,81.55
1,0.7842,27,?,64,27.555556,81.55
1,0.7842,27,?,64,27.555556,81.55
1,0.7842,27,?,64,27.555556,81.55
1,0.682944,27,?,64,27.555556,81.55
1,0.7842,27,?,64,27.555556,81.55
1,0.682944,27,?,64,27.555556,81.55
1,0.682944,27,?,64,27.555556,81.55
1,0.682944,27,?,64,27.555556,81.55
1,0.682944,27,?,64,27.555556,81.55
1,0.682944,27,?,64,27.555556,81.55
1,0.682944,27,?,64,27.555556,81.55
1,0.682944,27,?,64,27.555556,81.55
1,0.682944,25,?,66,27.555556,81.55
1,0.7842,25,?,66,27.555556,81.55
